date,title,location,tags,body
1827-09-22,Plates Received,"Manchester Township, New York","translation,revelation","Joseph Smith reports receiving the plates near the Hill Cumorah."
1829-05-15,Aaronic Priesthood,"Harmony, Pennsylvania","priesthood,revelation,organization","Conferral of the Aaronic Priesthood upon Joseph Smith and Oliver Cowdery."
1830-03-26,Book of Mormon Published,"Palmyra, New York","translation,organization","First edition published at Palmyra."
1830-04-06,Church Organized,"Fayette, New York","organization,priesthood","Organization of the Church of Christ at Fayette, New York."
1836-03-27,Kirtland Temple Dedication,"Kirtland, Ohio","temple,priesthood,revelation,finance","Dedication of the Kirtland Temple; subsequent visions reported."
1844-06-27,Martyrdom at Carthage Jail,"Carthage, Illinois","persecution,organization,migration","Joseph and Hyrum Smith are killed in Carthage Jail."
